date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:22:57	132/132	---M-Z	200	added ('OK')	text/plain	etag:%22108-59704ea40e5b7-gzip%22	https://www.truefoodkitchen.com/robots.txt		(from )
09:22:58	27704/27704	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2003:52:49%20GMT	https://www.truefoodkitchen.com/	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/index.html	(from )
09:23:00	11774/11774	---M--	200	added ('OK')	image/jpeg	etag:%222dfe-57bd4b99a51c5%22	https://www.truefoodkitchen.com/images/truefoodkitchen-favicon.jpg	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/truefoodkitchen-favicon.jpg	(from https://www.truefoodkitchen.com/)
09:23:02	122363/122363	---M-Z	200	added ('OK')	text/css	etag:%221ddfb-56cd3b1e4eb55-gzip%22	https://www.truefoodkitchen.com/css/bootstrap.min.css	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/css/bootstrap.min.css	(from https://www.truefoodkitchen.com/)
09:23:07	25647/25647	---M-Z	200	added ('OK')	text/css	etag:%22642f-58d442d73975d-gzip%22	https://www.truefoodkitchen.com/css/tfk-custom.css	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/css/tfk-custom.css	(from https://www.truefoodkitchen.com/)
09:23:08	39481/39481	---M-Z	200	added ('OK')	text/css	etag:%229a39-5973e1bd2edd1-gzip%22	https://www.truefoodkitchen.com/css/tfk-settings.css	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/css/tfk-settings.css	(from https://www.truefoodkitchen.com/)
09:23:09	1127/1127	---M-Z	200	added ('OK')	text/css	etag:%22467-56cd3b1fe2044-gzip%22	https://www.truefoodkitchen.com/css/owl.carousel.css	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/css/owl.carousel.css	(from https://www.truefoodkitchen.com/)
09:23:09	1218/1218	---M-Z	200	added ('OK')	text/css	etag:%224c2-571759e1a809a-gzip%22	https://www.truefoodkitchen.com/css/owl.theme.css	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/css/owl.theme.css	(from https://www.truefoodkitchen.com/)
09:23:10	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%226b4a-56cd3b1fe2044-gzip%22	https://www.truefoodkitchen.com/css/font-awesome.min.css	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/css/font-awesome.min.css	(from https://www.truefoodkitchen.com/)
09:23:12	5967/5967	---M-Z	200	added ('OK')	text/css	etag:%22174f-56cd3b1fe2044-gzip%22	https://www.truefoodkitchen.com/css/magnific-popup.css	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/css/magnific-popup.css	(from https://www.truefoodkitchen.com/)
09:23:12	325012/325012	---M-Z	200	added ('OK')	text/css	etag:%224f594-59974fdfc73ad-gzip%22	https://www.truefoodkitchen.com/css/tfk-new.css	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/css/tfk-new.css	(from https://www.truefoodkitchen.com/)
09:23:12	17550/17550	---M-Z	200	added ('OK')	text/css	etag:%22448e-580dbbc4179dd-gzip%22	https://www.truefoodkitchen.com/super-sidebar/css/tfk-super-sidebar.css	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/super-sidebar/css/tfk-super-sidebar.css	(from https://www.truefoodkitchen.com/)
09:23:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2015%20Dec%202019%2003:53:06%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Organic/www.googletagmanager.com/gtm.b5445.delayed	(from https://www.truefoodkitchen.com/)
09:23:14	128695/128695	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2015%20Dec%202019%2003:53:05%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Organic/connect.facebook.net/en_US/fbevents.js	(from https://www.truefoodkitchen.com/)
09:23:17	5200/5200	---M--	200	added ('OK')	image/png	etag:%221450-57fac115e81bf%22	https://www.truefoodkitchen.com/images/truefoodkitchen_logo-green.png	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/images/truefoodkitchen_logo-green.png	(from https://www.truefoodkitchen.com/)
09:23:17	18984/18984	---MCZ	200	added ('OK')	application/javascript	etag:%22254a43f994019deb4ca1830f04bd5d32-df%22	https://s.yimg.com/wi/ytc.js	C:/My%20Web%20Sites/Organic/s.yimg.com/wi/ytc.js	(from https://www.truefoodkitchen.com/)
09:23:19	30607/30607	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2003:53:11%20GMT	https://www.truefoodkitchen.com/menu	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/menu.html	(from https://www.truefoodkitchen.com/)
09:23:21	51487/51487	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2003:53:13%20GMT	https://www.truefoodkitchen.com/truestory	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/truestory.html	(from https://www.truefoodkitchen.com/)
09:23:22	55716/55716	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2003:53:11%20GMT	https://www.truefoodkitchen.com/locations	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/locations.html	(from https://www.truefoodkitchen.com/)
09:23:24	24814/24814	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2003:53:15%20GMT	https://www.truefoodkitchen.com/careers	C:/My%20Web%20Sites/Organic/www.truefoodkitchen.com/careers.html	(from https://www.truefoodkitchen.com/)
